título,años,reparto,ranking,valoración,votaciones
Senderos de gloria,1957,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker",60,8.37,198375
El resplandor,1980,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall",61,8.37,1021931
El gran dictador,1940,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",62,8.37,224866
Vengadores: Infinity War,2018,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth",63,8.36,1077898
Testigo de cargo,1957,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich",64,8.36,126346
,1986,"James Cameron (dir.), Sigourney Weaver, Michael Biehn",65,8.34,718393
Spider-Man: Un nuevo universo,2018,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson",66,8.34,528409
American Beauty,1999,"Sam Mendes (dir.), Kevin Spacey, Annette Bening",67,8.33,1155044
¿Teléfono rojo? Volamos hacia Moscú,1964,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott",68,8.33,492105
El caballero oscuro: La leyenda renace,2012,"Christopher Nolan (dir.), Christian Bale, Tom Hardy",69,8.33,1702523
Old Boy,2003,"Park Chan-wook (dir.), Choi Min-sik, Yoo Ji-tae",70,8.32,580133
Amadeus,1984,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce",71,8.32,402236
Malditos bastardos,2009,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger",72,8.32,1446518
Joker,2019,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro",73,8.32,1279323
Coco,2017,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal",74,8.32,507845
Toy Story,1995,"John Lasseter (dir.), Tom Hanks, Tim Allen",75,8.31,993416
Braveheart,1995,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau",76,8.31,1037906
El submarino (Das Boot),1981,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer",77,8.31,252042
Vengadores: Endgame,2019,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans",78,8.3,1126956
La princesa Mononoke,1997,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida",79,8.3,395610
Érase una vez en América,1984,"Sergio Leone (dir.), Robert De Niro, James Woods",80,8.3,353097
El indomable Will Hunting,1997,"Gus Van Sant (dir.), Robin Williams, Matt Damon",81,8.29,969215
You,2016,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi",82,8.28,269336
Top Gun: Maverick,2022,"Joseph Kosinski (dir.), Tom Cruise, Jennifer Connelly",83,8.28,452582
